Origin Time UTC,Local Time,Mag,Type,Latitude,Longitude,Depth (km),Region Name,Status,Last Update
2016/04/17 19:55:56,2016/04/17 14:55:56,3.1,M,-0.06,-80.42,10,Near Coast of Ecuador,M,2016/04/17 20:16:07
2016/04/17 19:21:27,2016/04/17 14:21:27,3.7,M,-0.18,-80.31,9,Near Coast of Ecuador,A,2016/04/17 19:27:52
2016/04/17 19:20:40,2016/04/17 14:20:40,3.9,M,-0.11,-80.57,5,Near Coast of Ecuador,M,2016/04/17 19:25:52
2016/04/17 18:22:15,2016/04/17 13:22:15,3.4,M,0.05,-80.62,9,Near Coast of Ecuador,M,2016/04/17 18:31:54
2016/04/17 17:35:25,2016/04/17 12:35:25,3.4,M,0.00,-80.63,9,Near Coast of Ecuador,M,2016/04/17 17:44:20
2016/04/17 17:15:50,2016/04/17 12:15:50,4.3,M,-0.21,-80.98,4,Near Coast of Ecuador,M,2016/04/17 17:20:18
2016/04/17 17:06:15,2016/04/17 12:06:15,3.0,M,0.39,-80.59,8,Near Coast of Ecuador,M,2016/04/17 17:17:58
2016/04/17 16:45:27,2016/04/17 11:45:27,3.1,M,-0.18,-80.46,7,Near Coast of Ecuador,M,2016/04/17 16:49:54
2016/04/17 15:27:57,2016/04/17 10:27:57,3.8,M,-0.03,-80.89,1,Near Coast of Ecuador,M,2016/04/17 15:32:20
2016/04/17 15:25:01,2016/04/17 10:25:01,3.7,M,0.15,-80.87,10,Near Coast of Ecuador,M,2016/04/17 15:31:53
2016/04/17 14:06:09,2016/04/17 09:06:09,3.6,M,0.24,-80.31,10,Near Coast of Ecuador,M,2016/04/17 14:10:49
2016/04/17 13:12:11,2016/04/17 08:12:11,3.5,M,-0.35,-80.75,2,Near Coast of Ecuador,M,2016/04/17 13:18:07
2016/04/17 13:04:57,2016/04/17 08:04:57,3.4,M,0.38,-80.39,5,Near Coast of Ecuador,M,2016/04/17 13:09:53
2016/04/17 13:04:50,2016/04/17 08:04:50,3.6,M,0.45,-80.88,10,Near Coast of Ecuador,M,2016/04/17 15:14:04
2016/04/17 13:03:27,2016/04/17 08:03:27,3.3,M,-0.31,-80.44,7,Near Coast of Ecuador,M,2016/04/17 13:07:52
2016/04/17 13:00:24,2016/04/17 08:00:24,3.4,M,-0.03,-80.51,12,Near Coast of Ecuador,M,2016/04/17 13:06:11
2016/04/17 12:55:29,2016/04/17 07:55:29,3.1,M,0.00,-80.20,17,Near Coast of Ecuador,M,2016/04/17 12:58:28
2016/04/17 12:47:37,2016/04/17 07:47:37,3.1,M,0.43,-79.60,5,Ecuador - Esmeraldas,M,2016/04/17 12:55:48
2016/04/17 12:40:22,2016/04/17 07:40:22,3.6,M,-0.10,-80.44,5,Near Coast of Ecuador,M,2016/04/17 12:51:29
2016/04/17 12:38:30,2016/04/17 07:38:30,3.6,M,-0.07,-80.49,11,Near Coast of Ecuador,M,2016/04/17 12:45:49
2016/04/17 12:36:23,2016/04/17 07:36:23,3.4,M,0.04,-80.71,8,Near Coast of Ecuador,M,2016/04/17 12:51:37
2016/04/17 12:20:26,2016/04/17 07:20:26,3.2,M,-0.04,-80.33,9,Near Coast of Ecuador,M,2016/04/17 12:59:49
2016/04/17 12:02:03,2016/04/17 07:02:03,4.1,M,0.57,-80.67,5,Near Coast of Ecuador,M,2016/04/17 12:16:44
2016/04/17 12:02:02,2016/04/17 07:02:02,4.2,M,0.47,-80.75,5,Near Coast of Ecuador,M,2016/04/17 12:16:38
2016/04/17 11:59:55,2016/04/17 06:59:55,4.8,M,-0.99,-84.98,10,Off Coast of Ecuador,A,2016/04/17 12:03:11
2016/04/17 11:50:11,2016/04/17 06:50:11,3.6,M,-0.31,-80.24,10,Ecuador - Manabi,A,2016/04/17 11:52:50
2016/04/17 11:35:58,2016/04/17 06:35:58,3.2,M,-0.14,-80.17,1,Ecuador - Manabi,M,2016/04/17 11:53:10
2016/04/17 11:26:10,2016/04/17 06:26:10,3.2,M,-0.04,-80.15,1,Near Coast of Ecuador,M,2016/04/17 11:48:39
2016/04/17 11:21:10,2016/04/17 06:21:10,3.0,M,-0.38,-80.21,2,Near Coast of Ecuador,M,2016/04/17 11:38:25
2016/04/17 11:12:19,2016/04/17 06:12:19,3.0,M,-0.01,-80.28,6,Near Coast of Ecuador,M,2016/04/17 11:33:46
2016/04/17 11:10:11,2016/04/17 06:10:11,3.3,M,-0.18,-80.26,7,Ecuador - Manabi,M,2016/04/17 11:31:27
2016/04/17 10:51:24,2016/04/17 05:51:24,3.0,M,-0.22,-79.95,9,Ecuador - Manabi,M,2016/04/17 11:24:16
2016/04/17 10:28:10,2016/04/17 05:28:10,3.5,M,0.19,-81.04,10,Off Coast of Ecuador,M,2016/04/17 14:41:41
2016/04/17 10:21:56,2016/04/17 05:21:56,3.5,M,-0.02,-80.14,5,Near Coast of Ecuador,M,2016/04/17 10:38:33
2016/04/17 10:08:25,2016/04/17 05:08:25,3.4,M,0.30,-80.39,5,Near Coast of Ecuador,M,2016/04/17 10:14:42
2016/04/17 10:02:34,2016/04/17 05:02:34,3.3,M,0.24,-80.79,10,Near Coast of Ecuador,M,2016/04/17 14:35:20
2016/04/17 09:57:01,2016/04/17 04:57:01,3.3,M,-0.22,-80.37,16,Near Coast of Ecuador,M,2016/04/17 10:09:43
2016/04/17 09:46:26,2016/04/17 04:46:26,3.8,M,-0.19,-80.37,13,Near Coast of Ecuador,M,2016/04/17 09:51:49
2016/04/17 09:40:59,2016/04/17 04:40:59,3.7,M,-0.18,-80.25,15,Ecuador - Manabi,M,2016/04/17 09:54:01
2016/04/17 09:35:22,2016/04/17 04:35:22,3.8,M,0.45,-79.40,5,Ecuador - Esmeraldas,M,2016/04/17 09:44:41
2016/04/17 09:23:39,2016/04/17 04:23:39,5.7,M,-0.12,-80.80,6,Near Coast of Ecuador,M,2016/04/18 18:38:28
2016/04/17 09:13:49,2016/04/17 04:13:49,3.2,M,0.27,-79.99,5,Near Coast of Ecuador,M,2016/04/17 09:21:39
2016/04/17 09:01:05,2016/04/17 04:01:05,4.1,M,0.63,-80.23,4,Near Coast of Ecuador,M,2016/04/17 09:13:47
2016/04/17 08:59:32,2016/04/17 03:59:32,3.6,M,-0.74,-79.38,10,Ecuador - Los Rios,A,2016/04/17 11:34:56
2016/04/17 08:58:53,2016/04/17 03:58:53,3.4,M,-0.16,-80.10,2,Ecuador - Esmeraldas,M,2016/04/17 09:09:45
2016/04/17 08:52:31,2016/04/17 03:52:31,4.0,M,-0.17,-80.52,24,Near Coast of Ecuador,M,2016/04/17 09:04:28
2016/04/17 08:51:31,2016/04/17 03:51:31,3.6,M,0.21,-79.83,10,Near Coast of Ecuador,A,2016/04/17 12:42:42
2016/04/17 08:45:06,2016/04/17 03:45:06,4.0,M,-0.17,-80.47,0,Near Coast of Ecuador,M,2016/04/17 09:02:14
2016/04/17 08:42:17,2016/04/17 03:42:17,3.4,M,0.43,-81.44,81,Off Coast of Ecuador,M,2016/04/17 08:50:36
2016/04/17 08:18:34,2016/04/17 03:18:34,3.7,M,-0.14,-80.29,5,Near Coast of Ecuador,M,2016/04/17 08:33:17
2016/04/17 08:12:50,2016/04/17 03:12:50,3.7,M,0.56,-79.86,0,Near Coast of Ecuador,M,2016/04/17 08:24:16
2016/04/17 08:12:48,2016/04/17 03:12:48,3.7,M,0.47,-80.05,10,Near Coast of Ecuador,M,2016/04/17 14:18:30
2016/04/17 08:12:46,2016/04/17 03:12:46,3.8,M,0.65,-80.07,5,Near Coast of Ecuador,M,2016/04/17 08:20:16
2016/04/17 07:57:17,2016/04/17 02:57:17,4.0,M,-0.46,-80.29,5,Ecuador - Manabi,M,2016/04/17 08:11:12
2016/04/17 07:36:35,2016/04/17 02:36:35,3.5,M,-0.02,-80.20,6,Near Coast of Ecuador,M,2016/04/17 07:43:00
2016/04/17 07:28:25,2016/04/17 02:28:25,4.0,M,0.02,-80.67,1,Near Coast of Ecuador,M,2016/04/17 07:37:27
2016/04/17 07:27:17,2016/04/17 02:27:17,3.6,M,0.23,-80.00,5,Ecuador - Manabi,M,2016/04/17 07:32:09
2016/04/17 07:22:22,2016/04/17 02:22:22,4.7,M,-0.15,-80.48,11,Near Coast of Ecuador,M,2016/04/17 07:29:10
2016/04/17 07:13:57,2016/04/17 02:13:57,6.1,M,-0.40,-80.40,7,Ecuador - Manabi,M,2016/04/18 17:46:27
2016/04/17 07:08:35,2016/04/17 02:08:35,3.8,M,-0.30,-80.17,8,Near Coast of Ecuador,M,2016/04/17 07:24:19
2016/04/17 06:49:52,2016/04/17 01:49:52,3.8,M,-0.23,-80.33,9,Ecuador - Manabi,M,2016/04/17 06:58:28
2016/04/17 06:43:11,2016/04/17 01:43:11,3.6,M,-0.15,-80.35,3,Near Coast of Ecuador,M,2016/04/17 06:54:45
2016/04/17 06:41:55,2016/04/17 01:41:55,3.8,M,-0.16,-80.46,6,Near Coast of Ecuador,M,2016/04/17 06:53:28
2016/04/17 06:38:41,2016/04/17 01:38:41,3.1,M,0.08,-79.57,5,Ecuador - Esmeraldas,M,2016/04/17 06:46:41
2016/04/17 06:21:26,2016/04/17 01:21:26,3.7,M,-0.03,-80.35,6,Near Coast of Ecuador,M,2016/04/17 06:31:27
2016/04/17 06:17:00,2016/04/17 01:17:00,3.4,M,-0.09,-80.77,3,Near Coast of Ecuador,M,2016/04/17 06:25:37
2016/04/17 06:11:26,2016/04/17 01:11:26,3.8,M,-0.07,-80.37,11,Near Coast of Ecuador,M,2016/04/17 06:20:07
2016/04/17 06:05:51,2016/04/17 01:05:51,4.8,M,-0.12,-80.64,12,Near Coast of Ecuador,A,2016/04/17 06:08:53
2016/04/17 05:59:56,2016/04/17 00:59:56,3.3,M,0.32,-80.16,8,Near Coast of Ecuador,M,2016/04/17 06:04:30
2016/04/17 05:51:16,2016/04/17 00:51:16,4.1,M,0.07,-80.88,9,Near Coast of Ecuador,M,2016/04/17 06:03:20
2016/04/17 05:46:09,2016/04/17 00:46:09,3.9,M,-0.22,-80.70,6,Near Coast of Ecuador,M,2016/04/17 05:49:28
2016/04/17 05:42:51,2016/04/17 00:42:51,4.9,M,0.36,-80.40,5,Near Coast of Ecuador,M,2016/04/17 05:47:50
2016/04/17 05:28:32,2016/04/17 00:28:32,4.1,M,-0.18,-80.49,5,Near Coast of Ecuador,M,2016/04/17 05:55:27
2016/04/17 05:23:42,2016/04/17 00:23:42,3.5,M,0.29,-80.60,12,Near Coast of Ecuador,M,2016/04/17 05:32:52
2016/04/17 05:20:11,2016/04/17 00:20:11,3.5,M,0.02,-80.75,5,Near Coast of Ecuador,M,2016/04/17 06:34:29
2016/04/17 05:01:54,2016/04/17 00:01:54,3.5,M,-0.43,-79.64,9,Ecuador - Manabi,M,2016/04/17 05:05:20
2016/04/17 04:57:29,2016/04/16 23:57:29,3.5,M,-0.08,-80.73,16,Near Coast of Ecuador,M,2016/04/17 05:10:10
2016/04/17 04:57:26,2016/04/16 23:57:26,4.2,M,-0.02,-80.86,7,Near Coast of Ecuador,M,2016/04/17 05:04:15
2016/04/17 04:50:02,2016/04/16 23:50:02,3.4,M,0.06,-80.38,6,Near Coast of Ecuador,M,2016/04/17 04:59:16
2016/04/17 04:46:50,2016/04/16 23:46:50,3.9,M,-0.28,-80.45,10,Near Coast of Ecuador,A,2016/04/17 05:00:50
